t_s,mode,road_state,branch_guard,perception_ready,offset_y07,offset_y08,offset_y09,weighted_offset,heading_error,curvature,raw_control_error,control_error,curve_strength,curve_risk,far_offset_speed_risk,error_rate_risk,risk_dominant,speed_cause,error_phase,target_speed,high_error_rescue,speed_mps,steering_cmd,max_steer,curve_entry_guard,derivative_braking,abs_error_rate
5.009616322,running,NORMAL,False,True,0.445,0.339,0.396,0.411,-0.33,1.0,0.524,0.524,1.0,0.423,0.423,0.0,far_y07,dynamic_curve_risk,flat,0.904,False,0.899,0.385,0.578,False,True,0.0
5.029425728,running,NORMAL,False,True,0.401,0.287,0.335,0.363,-0.33,1.0,0.479,0.479,1.0,0.513,0.381,0.513,error_rate,dynamic_curve_risk,error_falling,0.88,False,0.88,0.326,0.691,False,True,-2.2716481251382037
5.05021687,running,NORMAL,False,True,0.39,0.274,0.319,0.351,-0.33,1.0,0.467,0.467,1.0,0.37,0.37,0.0,far_y07,dynamic_curve_risk,error_falling,0.949,False,0.891,0.296,0.513,False,True,-0.5771688731672284
5.071500338,running,NORMAL,False,True,0.37,0.249,0.287,0.33,-0.352,1.0,0.454,0.454,1.0,0.352,0.352,0.0,heading,dynamic_curve_risk,error_falling,0.965,False,0.903,0.287,0.489,False,True,-0.6108027131668577
5.090788544,running,NORMAL,False,True,0.357,0.233,0.267,0.316,-0.352,1.0,0.441,0.441,1.0,0.352,0.339,0.0,heading,dynamic_curve_risk,error_falling,0.965,False,0.914,0.274,0.489,False,True,-0.6739869949543371
5.110084042,running,NORMAL,False,True,0.357,0.233,0.267,0.316,-0.352,1.0,0.441,0.441,1.0,0.352,0.339,0.0,heading,dynamic_curve_risk,flat,0.965,False,0.924,0.313,0.489,False,True,0.0
5.130152153,running,NORMAL,False,True,0.349,0.223,0.253,0.306,-0.352,1.0,0.432,0.432,1.0,0.352,0.331,0.0,heading,dynamic_curve_risk,error_falling,0.965,False,0.935,0.308,0.489,False,True,-0.44847270378363874
5.150895753,running,NORMAL,False,True,0.335,0.2,0.232,0.289,-0.402,1.0,0.44,0.44,1.0,0.402,0.319,0.0,heading,dynamic_curve_risk,error_rising,0.921,False,0.921,0.363,0.553,False,True,0.3856611195742248
5.169615802,running,NORMAL,False,True,0.326,0.185,0.218,0.278,-0.402,1.0,0.429,0.429,1.0,0.402,0.31,0.0,heading,dynamic_curve_risk,error_falling,0.921,False,0.921,0.333,0.553,False,True,-0.5876052995374209
5.190530316,running,NORMAL,False,True,0.331,0.163,0.192,0.274,-0.509,1.0,0.476,0.476,1.0,0.509,0.314,0.483,heading,dynamic_curve_risk,error_rising,0.88,False,0.88,0.406,0.687,False,False,2.2472432302275585
