timestamp,mode,curve_state,offset_y07,offset_y09,near_error,curve_signal,p_term,d_term,ff_term,unclamped_steer,steering_cmd,saturated,target_speed,speed_mps,heading_error,curvature,confidence,fit_source,fit_transition_active,fit_transition_ratio
1784163764.0506186,disabled,STRAIGHT,-0.052,0.15,0.15,0.003,0.12,-0.001,0.0,0.12,0.0,False,0.6,0.0,0.204279,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.0518744,disabled,STRAIGHT,-0.053,0.15,0.15,0.003,0.12,-0.001,0.0,0.119,0.0,False,0.6,0.0,0.204279,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.0533998,disabled,STRAIGHT,-0.054,0.149,0.149,0.002,0.119,-0.002,0.0,0.117,0.0,False,0.6,0.0,0.204279,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.054305,disabled,STRAIGHT,-0.055,0.147,0.147,0.003,0.118,-0.002,0.0,0.115,0.0,False,0.6,0.0,0.207857,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.055216,disabled,STRAIGHT,-0.054,0.149,0.149,0.005,0.119,-0.0,0.0,0.119,0.0,False,0.6,0.0,0.207857,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.0577636,disabled,STRAIGHT,-0.053,0.15,0.15,0.004,0.12,0.001,0.0,0.121,0.0,False,0.6,0.0,0.204555,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.0590224,disabled,STRAIGHT,-0.052,0.151,0.151,0.001,0.121,0.002,0.0,0.123,0.0,False,0.6,0.0,0.204555,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.060764,disabled,STRAIGHT,-0.051,0.152,0.152,0.001,0.122,0.002,0.0,0.124,0.0,False,0.6,0.0,0.204555,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.0617924,disabled,STRAIGHT,-0.051,0.153,0.153,0.001,0.122,0.002,0.0,0.124,0.0,False,0.6,0.0,0.203964,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.063255,disabled,STRAIGHT,-0.05,0.153,0.153,0.001,0.123,0.002,0.0,0.124,0.0,False,0.6,0.0,0.203964,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.0670493,running,STRAIGHT,-0.049,0.154,0.154,0.001,0.123,0.0,0.0,0.123,0.066,False,0.6,0.014,0.203964,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.087335,running,STRAIGHT,-0.048,0.154,0.154,0.0,0.123,0.0,0.0,0.123,0.123,False,0.6,0.031,0.202359,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.1068788,running,STRAIGHT,-0.048,0.154,0.154,0.0,0.123,0.0,0.0,0.123,0.123,False,0.6,0.048,0.202359,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.1290581,running,STRAIGHT,-0.048,0.154,0.154,0.001,0.123,0.0,0.0,0.123,0.123,False,0.6,0.065,0.202359,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.147183,running,STRAIGHT,-0.049,0.154,0.154,0.004,0.124,0.0,0.0,0.124,0.124,False,0.6,0.081,0.207698,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.168553,running,STRAIGHT,-0.051,0.153,0.153,0.004,0.122,-0.001,0.0,0.121,0.121,False,0.6,0.1,0.207941,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.1880167,running,STRAIGHT,-0.051,0.152,0.152,0.004,0.122,-0.001,0.0,0.12,0.12,False,0.6,0.116,0.207941,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.2080402,running,STRAIGHT,-0.052,0.152,0.152,0.004,0.121,-0.002,0.0,0.12,0.12,False,0.6,0.133,0.207941,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.2272978,running,STRAIGHT,-0.052,0.152,0.152,0.003,0.122,-0.001,0.0,0.121,0.121,False,0.6,0.15,0.207057,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.247427,running,STRAIGHT,-0.052,0.153,0.153,0.003,0.122,0.0,0.0,0.122,0.122,False,0.6,0.167,0.207057,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.2670624,running,STRAIGHT,-0.052,0.153,0.153,0.003,0.122,0.0,0.0,0.123,0.123,False,0.6,0.184,0.207057,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.2875004,running,STRAIGHT,-0.051,0.153,0.153,0.003,0.122,0.0,0.0,0.123,0.123,False,0.6,0.201,0.207057,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.3075688,running,STRAIGHT,-0.051,0.153,0.153,0.002,0.123,0.001,0.0,0.123,0.123,False,0.6,0.218,0.205964,1.0,0.846154,BRANCH_LEFT,False,1.0
1784163764.3272066,running,STRAIGHT,-0.05,0.154,0.154,0.002,0.123,0.001,0.0,0.124,0.124,False,0.6,0.234,0.205964,1.0,0.846154,BRANCH_LEFT,False,1.0
