timestamp,mode,curve_state,offset_y07,offset_y09,near_error,curve_signal,p_term,d_term,ff_term,unclamped_steer,steering_cmd,saturated,target_speed,speed_mps,heading_error,curvature,confidence,fit_source,fit_transition_active,fit_transition_ratio
1784164491.5876293,disabled,CURVE,0.202,-0.104,-0.104,0.249,-0.084,-0.0,0.0,-0.084,0.0,False,0.6,0.0,0.224306,-1.0,1.0,NORMAL,False,1.0
1784164491.6063335,running,STRAIGHT,0.164,-0.092,-0.092,0.48,-0.073,0.005,0.0,-0.068,-0.068,False,0.6,0.015,0.224306,-1.0,1.0,NORMAL,False,1.0
1784164491.626414,running,STRAIGHT,0.154,-0.089,-0.089,0.467,-0.071,0.007,0.0,-0.064,-0.064,False,0.6,0.032,0.224306,-1.0,1.0,NORMAL,False,1.0
1784164491.6468728,running,CURVE,0.171,-0.094,-0.094,0.215,-0.075,0.001,0.0,-0.074,-0.074,False,0.6,0.05,-0.0490714,-1.0,1.0,NORMAL,False,1.0
1784164491.6657195,running,CURVE,0.188,-0.1,-0.1,0.24,-0.08,-0.005,0.0,-0.085,-0.085,False,0.6,0.066,-0.0480638,-1.0,1.0,NORMAL,False,1.0
1784164491.6852012,running,CURVE,0.192,-0.102,-0.102,0.246,-0.082,-0.006,0.0,-0.087,-0.087,False,0.6,0.083,-0.0480638,-1.0,1.0,NORMAL,False,1.0
1784164491.7066398,running,CURVE,0.194,-0.104,-0.104,0.25,-0.083,-0.005,0.0,-0.088,-0.088,False,0.6,0.101,-0.0480638,-1.0,1.0,NORMAL,False,1.0
1784164491.7259638,running,CURVE,0.195,-0.105,-0.105,0.252,-0.084,-0.005,0.0,-0.089,-0.089,False,0.6,0.117,-0.0485735,-1.0,1.0,NORMAL,False,1.0
1784164491.7459013,running,CURVE,0.195,-0.107,-0.107,0.253,-0.085,-0.005,0.0,-0.09,-0.09,False,0.6,0.134,-0.0485735,-1.0,1.0,NORMAL,False,1.0
1784164491.7667036,running,CURVE,0.195,-0.107,-0.107,0.254,-0.086,-0.004,0.0,-0.09,-0.09,False,0.6,0.15,-0.0355105,-1.0,1.0,NORMAL,False,1.0
1784164491.7866213,running,CURVE,0.198,-0.103,-0.103,0.266,-0.083,0.001,0.0,-0.082,-0.082,False,0.6,0.169,-0.0355105,-1.0,1.0,NORMAL,False,1.0
1784164491.8072138,running,CURVE,0.199,-0.103,-0.103,0.258,-0.082,0.001,0.0,-0.081,-0.081,False,0.6,0.185,-0.0442206,-1.0,1.0,NORMAL,False,1.0
1784164491.8268588,running,CURVE,0.2,-0.103,-0.103,0.258,-0.082,0.001,0.0,-0.081,-0.081,False,0.6,0.203,-0.0442206,-1.0,1.0,NORMAL,False,1.0
1784164491.8476043,running,CURVE,0.2,-0.102,-0.102,0.258,-0.082,0.001,0.0,-0.081,-0.081,False,0.6,0.22,-0.0442206,-1.0,1.0,NORMAL,False,1.0
1784164491.8672209,running,CURVE,0.176,-0.097,-0.097,0.497,-0.078,0.005,0.0,-0.073,-0.073,False,0.6,0.237,0.223874,-1.0,1.0,NORMAL,False,1.0
1784164491.8848743,running,CURVE,0.15,-0.091,-0.091,0.465,-0.073,0.007,0.0,-0.066,-0.066,False,0.6,0.252,0.223874,-1.0,1.0,NORMAL,False,1.0
1784164491.905189,running,CURVE,0.144,-0.09,-0.09,0.457,-0.072,0.006,0.0,-0.066,-0.066,False,0.6,0.269,0.223874,-1.0,1.0,NORMAL,False,1.0
1784164491.925412,running,CURVE,0.162,-0.097,-0.097,0.209,-0.077,-0.003,0.0,-0.08,-0.08,False,0.6,0.287,-0.0489809,-1.0,1.0,NORMAL,False,1.0
1784164491.9456675,running,CURVE,0.174,-0.101,-0.101,0.225,-0.081,-0.005,0.0,-0.086,-0.086,False,0.6,0.304,-0.0546383,-1.0,1.0,NORMAL,False,1.0
1784164491.966271,running,CURVE,0.183,-0.102,-0.102,0.231,-0.082,-0.005,0.0,-0.087,-0.087,False,0.6,0.321,-0.0546383,-1.0,1.0,NORMAL,False,1.0
1784164491.985584,running,CURVE,0.193,-0.103,-0.103,0.242,-0.083,-0.003,0.0,-0.086,-0.086,False,0.6,0.338,-0.0546383,-1.0,1.0,NORMAL,False,1.0
1784164492.0057197,running,CURVE,0.196,-0.104,-0.104,0.245,-0.083,-0.003,0.0,-0.086,-0.086,False,0.6,0.355,-0.0546383,-1.0,1.0,NORMAL,False,1.0
1784164492.0260127,running,CURVE,0.2,-0.103,-0.103,0.243,-0.082,-0.001,0.0,-0.084,-0.084,False,0.6,0.372,-0.0594699,-1.0,1.0,NORMAL,False,1.0
1784164492.0455003,running,CURVE,0.202,-0.103,-0.103,0.245,-0.082,-0.0,0.0,-0.083,-0.083,False,0.6,0.389,-0.0452921,-1.0,1.0,NORMAL,False,1.0
1784164492.065617,running,CURVE,0.202,-0.102,-0.102,0.259,-0.082,0.0,0.0,-0.081,-0.081,False,0.6,0.406,-0.0452921,-1.0,1.0,NORMAL,False,1.0
1784164492.08569,running,CURVE,0.202,-0.101,-0.101,0.258,-0.081,0.001,0.0,-0.08,-0.08,False,0.6,0.423,-0.0452921,-1.0,1.0,NORMAL,False,1.0
1784164492.1057,running,CURVE,0.192,-0.098,-0.098,0.386,-0.078,0.004,0.0,-0.074,-0.074,False,0.6,0.44,0.0970977,-1.0,1.0,NORMAL,False,1.0
1784164492.1249504,running,CURVE,0.185,-0.095,-0.095,0.377,-0.076,0.005,0.0,-0.072,-0.072,False,0.6,0.456,0.0970977,-1.0,1.0,NORMAL,False,1.0
1784164492.1492367,running,CURVE,0.192,-0.087,-0.087,0.254,-0.07,0.009,0.0,-0.06,-0.06,False,0.6,0.475,-0.025074,-1.0,1.0,NORMAL,False,1.0
1784164492.1676488,running,CURVE,0.197,-0.082,-0.082,0.254,-0.066,0.012,0.0,-0.054,-0.054,False,0.6,0.492,-0.025074,-1.0,1.0,NORMAL,False,1.0
1784164492.1872885,running,CURVE,0.202,-0.066,-0.066,0.265,-0.053,0.018,0.0,-0.035,-0.035,False,0.6,0.509,-0.00301499,-1.0,1.0,NORMAL,False,1.0
1784164492.206961,running,CURVE,0.203,-0.058,-0.058,0.258,-0.046,0.024,0.0,-0.023,-0.023,False,0.6,0.526,-0.00301499,-1.0,1.0,NORMAL,False,1.0
1784164492.2274716,running,CURVE,0.203,-0.053,-0.053,0.253,-0.042,0.021,0.0,-0.022,-0.022,False,0.6,0.543,-0.00301499,-1.0,1.0,NORMAL,False,1.0
1784164492.2474642,running,CURVE,0.2,-0.035,-0.035,0.257,-0.028,0.034,0.0,0.006,0.006,False,0.6,0.56,0.0214244,-1.0,1.0,NORMAL,False,1.0
1784164492.2675924,running,CURVE,0.198,-0.023,-0.023,0.243,-0.019,0.032,0.0,0.013,0.013,False,0.6,0.576,0.0214244,-1.0,1.0,NORMAL,False,1.0
1784164492.285411,running,CURVE,0.192,0.01,0.01,0.184,0.008,0.04,0.0,0.048,0.048,False,0.6,0.593,0.00193381,-1.0,1.0,NORMAL,False,1.0
1784164492.3073976,running,CURVE,0.184,0.049,0.049,0.155,0.04,0.048,0.0,0.087,0.087,False,0.6,0.6,0.0203955,-1.0,1.0,NORMAL,False,1.0
1784164492.326698,running,CURVE,0.152,0.134,0.134,0.177,0.107,0.053,0.0,0.16,0.16,False,0.6,0.6,0.159045,1.0,1.0,NORMAL,False,1.0
1784164492.345928,running,CURVE,0.131,0.189,0.189,0.101,0.151,0.057,0.0,0.208,0.208,False,0.6,0.6,0.159045,1.0,1.0,NORMAL,False,1.0
1784164492.3650386,running,CURVE,0.114,0.203,0.203,0.039,0.162,0.022,0.0,0.184,0.184,False,0.6,0.6,0.128088,-1.0,1.0,NORMAL,False,1.0
1784164492.3864474,running,CURVE,0.141,0.176,0.176,-0.084,0.141,-0.002,-0.0,0.139,0.139,False,0.6,0.6,-0.0496099,-1.0,1.0,NORMAL,False,1.0
1784164492.4068289,running,CURVE,0.159,0.158,0.158,-0.048,0.127,-0.019,-0.0,0.108,0.108,False,0.6,0.6,-0.0496099,-1.0,1.0,NORMAL,False,1.0
1784164492.426451,running,CURVE,0.171,0.147,0.147,-0.025,0.117,-0.029,-0.0,0.088,0.088,False,0.6,0.6,-0.0496099,-1.0,1.0,NORMAL,False,1.0
1784164492.4454303,running,CURVE,0.168,0.142,0.142,0.099,0.114,-0.024,0.0,0.09,0.09,False,0.6,0.6,0.073398,-1.0,1.0,NORMAL,False,1.0
1784164492.4670448,running,CURVE,0.165,0.137,0.137,0.101,0.11,-0.015,0.0,0.095,0.095,False,0.6,0.6,0.073398,-1.0,1.0,NORMAL,False,1.0
1784164492.4866138,running,CURVE,0.157,0.117,0.117,-0.03,0.093,-0.028,-0.0,0.065,0.065,False,0.6,0.6,-0.0702168,-0.603446,1.0,NORMAL,False,1.0
1784164492.5065622,running,CURVE,0.152,0.103,0.103,-0.021,0.083,-0.031,-0.0,0.051,0.051,False,0.6,0.6,-0.0702168,-0.603446,1.0,NORMAL,False,1.0
