timestamp,mode,curve_state,offset_y07,offset_y09,near_error,curve_signal,p_term,d_term,ff_term,unclamped_steer,steering_cmd,saturated,target_speed,speed_mps,heading_error,curvature,confidence,fit_source,fit_transition_active,fit_transition_ratio
1784164661.7633808,running,STRAIGHT,0.751,0.712,0.712,-0.097,0.569,0.0,-0.0,0.569,0.036,False,0.6,0.008,-0.136702,1.0,1.0,NORMAL,False,1.0
1784164661.7836199,running,STRAIGHT,0.751,0.711,0.711,-0.097,0.569,-0.0,-0.0,0.569,0.115,False,0.6,0.024,-0.136648,1.0,1.0,NORMAL,False,1.0
1784164661.8031883,running,STRAIGHT,0.751,0.711,0.711,-0.097,0.569,-0.0,-0.0,0.569,0.195,False,0.6,0.041,-0.136648,1.0,1.0,NORMAL,False,1.0
1784164661.823259,running,STRAIGHT,0.751,0.711,0.711,-0.097,0.569,-0.0,-0.0,0.569,0.276,False,0.6,0.059,-0.136648,1.0,1.0,NORMAL,False,1.0
1784164661.8437932,running,STRAIGHT,0.751,0.711,0.711,-0.097,0.569,-0.0,-0.0,0.569,0.357,False,0.6,0.076,-0.136648,1.0,1.0,NORMAL,False,1.0
1784164661.8633602,running,STRAIGHT,0.751,0.711,0.711,-0.097,0.569,-0.0,-0.0,0.569,0.436,False,0.6,0.093,-0.136953,1.0,1.0,NORMAL,False,1.0
1784164661.882934,running,STRAIGHT,0.751,0.711,0.711,-0.097,0.569,-0.0,-0.0,0.569,0.515,False,0.6,0.11,-0.136953,1.0,1.0,NORMAL,False,1.0
1784164661.9028904,running,STRAIGHT,0.751,0.711,0.711,-0.097,0.569,-0.0,-0.0,0.569,0.569,False,0.6,0.126,-0.137132,1.0,1.0,NORMAL,False,1.0
1784164661.9228811,running,STRAIGHT,0.751,0.711,0.711,-0.097,0.569,-0.0,-0.0,0.569,0.569,False,0.6,0.143,-0.137132,1.0,1.0,NORMAL,False,1.0
1784164661.9436574,running,STRAIGHT,0.751,0.711,0.711,-0.097,0.569,-0.0,-0.0,0.569,0.569,False,0.6,0.16,-0.137132,1.0,1.0,NORMAL,False,1.0
1784164661.9628084,running,STRAIGHT,0.751,0.711,0.711,-0.098,0.569,-0.0,-0.0,0.569,0.569,False,0.6,0.177,-0.137864,1.0,1.0,NORMAL,False,1.0
1784164661.9836104,running,STRAIGHT,0.751,0.711,0.711,-0.098,0.569,-0.0,-0.0,0.569,0.569,False,0.6,0.194,-0.135439,1.0,1.0,NORMAL,False,1.0
1784164662.0032406,running,STRAIGHT,0.751,0.711,0.711,-0.096,0.569,0.0,-0.0,0.569,0.569,False,0.6,0.211,-0.135439,1.0,1.0,NORMAL,False,1.0
1784164662.0244315,running,STRAIGHT,0.751,0.711,0.711,-0.096,0.569,0.0,-0.0,0.569,0.569,False,0.6,0.228,-0.134682,1.0,1.0,NORMAL,False,1.0
1784164662.0430236,running,STRAIGHT,0.75,0.711,0.711,-0.096,0.569,0.0,-0.0,0.569,0.569,False,0.6,0.245,-0.134682,1.0,1.0,NORMAL,False,1.0
1784164662.0631006,running,STRAIGHT,0.75,0.712,0.712,-0.096,0.569,0.0,-0.0,0.569,0.569,False,0.6,0.262,-0.134682,1.0,1.0,NORMAL,False,1.0
1784164662.0841506,running,STRAIGHT,0.753,0.713,0.713,-0.106,0.57,0.002,-0.0,0.572,0.572,False,0.6,0.279,-0.145775,1.0,1.0,NORMAL,False,1.0
1784164662.103382,running,STRAIGHT,0.755,0.714,0.714,-0.105,0.571,0.002,-0.0,0.573,0.573,False,0.6,0.296,-0.145775,1.0,1.0,NORMAL,False,1.0
1784164662.1227903,running,STRAIGHT,0.755,0.714,0.714,-0.101,0.571,0.001,-0.0,0.573,0.573,False,0.6,0.313,-0.141569,1.0,1.0,NORMAL,False,1.0
1784164662.1437356,running,STRAIGHT,0.755,0.714,0.714,-0.101,0.571,0.001,-0.0,0.572,0.572,False,0.6,0.331,-0.141569,1.0,1.0,NORMAL,False,1.0
1784164662.1634514,running,STRAIGHT,0.758,0.72,0.72,-0.09,0.576,0.006,-0.0,0.582,0.582,False,0.6,0.347,-0.128283,1.0,1.0,NORMAL,False,1.0
1784164662.1848757,running,STRAIGHT,0.761,0.725,0.725,-0.092,0.58,0.009,-0.0,0.589,0.589,False,0.6,0.366,-0.128283,1.0,1.0,NORMAL,False,1.0
1784164662.2024584,running,STRAIGHT,0.762,0.727,0.727,-0.093,0.582,0.007,-0.0,0.589,0.589,False,0.6,0.381,-0.128283,1.0,1.0,NORMAL,False,1.0
1784164662.224614,running,STRAIGHT,0.763,0.728,0.728,-0.09,0.583,0.007,-0.0,0.59,0.59,False,0.6,0.399,-0.12544,1.0,1.0,NORMAL,False,1.0
1784164662.2445161,running,STRAIGHT,0.764,0.73,0.73,-0.091,0.584,0.006,-0.0,0.59,0.59,False,0.6,0.416,-0.12544,1.0,1.0,NORMAL,False,1.0
1784164662.2637467,running,STRAIGHT,0.765,0.73,0.73,-0.091,0.584,0.005,-0.0,0.589,0.589,False,0.6,0.433,-0.12544,1.0,1.0,NORMAL,False,1.0
